,center,left,right,steering,throttle,reverse,speed
0,center_2021_04_25_11_32_45_622.jpg,left_2021_04_25_11_32_45_622.jpg,right_2021_04_25_11_32_45_622.jpg,0.0,0.0,0.0,4.46185e-06
1,center_2021_04_25_11_32_45_689.jpg,left_2021_04_25_11_32_45_689.jpg,right_2021_04_25_11_32_45_689.jpg,0.0,0.0,0.0,1.093275e-06
2,center_2021_04_25_11_32_45_765.jpg,left_2021_04_25_11_32_45_765.jpg,right_2021_04_25_11_32_45_765.jpg,0.0,0.0,0.0,2.8352499999999997e-06
3,center_2021_04_25_11_32_45_834.jpg,left_2021_04_25_11_32_45_834.jpg,right_2021_04_25_11_32_45_834.jpg,0.0,0.0,0.0,1.5801800000000002e-05
4,center_2021_04_25_11_32_45_905.jpg,left_2021_04_25_11_32_45_905.jpg,right_2021_04_25_11_32_45_905.jpg,0.0,0.0,0.0,9.599639e-06
5,center_2021_04_25_11_32_45_978.jpg,left_2021_04_25_11_32_45_978.jpg,right_2021_04_25_11_32_45_978.jpg,0.0,0.0,0.0,1.766414e-05
6,center_2021_04_25_11_32_46_048.jpg,left_2021_04_25_11_32_46_048.jpg,right_2021_04_25_11_32_46_048.jpg,0.0,0.0,0.0,2.7276609999999996e-05
7,center_2021_04_25_11_32_46_119.jpg,left_2021_04_25_11_32_46_119.jpg,right_2021_04_25_11_32_46_119.jpg,0.0,0.0,0.0,1.0595150000000001e-05
8,center_2021_04_25_11_32_46_193.jpg,left_2021_04_25_11_32_46_193.jpg,right_2021_04_25_11_32_46_193.jpg,0.0,0.0,0.0,2.045568e-05
9,center_2021_04_25_11_32_46_262.jpg,left_2021_04_25_11_32_46_262.jpg,right_2021_04_25_11_32_46_262.jpg,0.0,0.2062113,0.0,0.1942009
10,center_2021_04_25_11_32_46_351.jpg,left_2021_04_25_11_32_46_351.jpg,right_2021_04_25_11_32_46_351.jpg,0.0,0.4202298,0.0,0.47179079999999995
11,center_2021_04_25_11_32_46_426.jpg,left_2021_04_25_11_32_46_426.jpg,right_2021_04_25_11_32_46_426.jpg,0.0,0.6519573000000001,0.0,1.0481989999999999
12,center_2021_04_25_11_32_46_495.jpg,left_2021_04_25_11_32_46_495.jpg,right_2021_04_25_11_32_46_495.jpg,0.0,0.8636940000000001,0.0,1.874079
13,center_2021_04_25_11_32_46_568.jpg,left_2021_04_25_11_32_46_568.jpg,right_2021_04_25_11_32_46_568.jpg,-0.15,1.0,0.0,2.551415
